,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-01-31,20.860001,20.93,20.709999,20.75,20.75,57500.0
1,2020-02-03,20.610001,20.85,20.610001,20.76,20.76,48400.0
2,2020-02-04,20.82,21.120001000000002,20.82,21.08,21.08,58200.0
3,2020-02-05,21.15,21.15,20.959999,21.120001000000002,21.120001000000002,58100.0
4,2020-02-06,21.129998999999998,21.299999,21.08,21.299999,21.299999,50100.0
5,2020-02-07,21.18,21.48,21.15,21.48,21.48,49000.0
6,2020-02-10,21.48,21.65,21.360001,21.620001000000002,21.620001000000002,31000.0
7,2020-02-11,21.639999,21.860001,21.639999,21.790001,21.790001,29100.0
8,2020-02-12,21.790001,21.969998999999998,21.790001,21.85,21.85,31300.0
9,2020-02-13,21.67,21.969998999999998,21.67,21.969998999999998,21.969998999999998,16700.0
10,2020-02-14,22.0,22.32,22.0,22.299999,22.299999,16500.0
11,2020-02-18,22.32,22.49,22.23,22.49,22.49,65700.0
12,2020-02-19,22.379998999999998,22.540001,22.209999,22.26,22.26,32300.0
13,2020-02-20,22.190001000000002,22.48,22.1,22.450001,22.450001,36600.0
14,2020-02-21,22.450001,22.59,22.450001,22.52,22.52,59000.0
15,2020-02-24,22.450001,22.639999,22.23,22.389999,22.389999,59300.0
16,2020-02-25,22.389999,22.57,21.440001000000002,21.629998999999998,21.629998999999998,44700.0
17,2020-02-26,21.629998999999998,21.66,21.0,21.309998999999998,21.309998999999998,35300.0
18,2020-02-27,20.879998999999998,20.879998999999998,20.049999,20.120001000000002,20.120001000000002,46000.0
19,2020-02-28,19.700001,19.84,18.209999,18.450001,18.450001,190700.0
20,2020-03-02,,,,,,
21,2020-03-03,,,,,,
22,2020-03-04,,,,,,
23,2020-03-05,,,,,,
24,2020-03-06,,,,,,
25,2020-03-09,,,,,,
26,2020-03-10,,,,,,
27,2020-03-11,,,,,,
28,2020-03-12,,,,,,
29,2020-03-13,,,,,,
30,2020-03-16,,,,,,
31,2020-03-17,,,,,,
32,2020-03-18,,,,,,
33,2020-03-19,,,,,,
34,2020-03-20,,,,,,
35,2020-03-23,,,,,,
36,2020-03-24,,,,,,
37,2020-03-25,,,,,,
38,2020-03-26,,,,,,
39,2020-03-27,,,,,,
40,2020-03-30,,,,,,
41,2020-03-31,,,,,,
42,2020-04-01,,,,,,
43,2020-04-02,,,,,,
44,2020-04-03,,,,,,
45,2020-04-06,,,,,,
46,2020-04-07,,,,,,
47,2020-04-08,,,,,,
48,2020-04-09,,,,,,
49,2020-04-13,,,,,,
50,2020-04-14,,,,,,
51,2020-04-15,,,,,,
52,2020-04-16,,,,,,
53,2020-04-17,,,,,,
54,2020-04-20,,,,,,
55,2020-04-21,,,,,,
56,2020-04-22,,,,,,
57,2020-04-23,,,,,,
58,2020-04-24,,,,,,
59,2020-04-27,,,,,,
60,2020-04-28,,,,,,
61,2020-04-29,,,,,,
62,2020-04-30,,,,,,
63,2020-05-01,,,,,,
64,2020-05-04,,,,,,
65,2020-05-05,,,,,,
66,2020-05-06,,,,,,
67,2020-05-07,,,,,,
68,2020-05-08,,,,,,
69,2020-05-11,,,,,,
70,2020-05-12,,,,,,
71,2020-05-13,,,,,,
72,2020-05-14,,,,,,
73,2020-05-15,,,,,,
74,2020-05-18,,,,,,
75,2020-05-19,,,,,,
76,2020-05-20,,,,,,
77,2020-05-21,,,,,,
78,2020-05-22,,,,,,
79,2020-05-26,,,,,,
80,2020-05-27,,,,,,
81,2020-05-28,,,,,,
82,2020-05-29,,,,,,
83,2020-06-01,,,,,,
84,2020-06-02,,,,,,
85,2020-06-03,,,,,,
86,2020-06-04,,,,,,
87,2020-06-05,,,,,,
88,2020-06-08,,,,,,
89,2020-06-09,,,,,,
90,2020-06-10,,,,,,
91,2020-06-11,,,,,,
92,2020-06-12,,,,,,
93,2020-06-15,,,,,,
94,2020-06-16,,,,,,
95,2020-06-17,,,,,,
96,2020-06-18,,,,,,
97,2020-06-19,,,,,,
98,2020-06-22,,,,,,
99,2020-06-23,,,,,,
100,2020-06-24,,,,,,
101,2020-06-25,,,,,,
